wallet,in_degree,out_degree,flow_ratio,pagerank,betweenness
0x000000000055217587f821917562867172942189,1,0,0.0,1.6531908145179908e-05,0.0
0x00000000005bbb0ef59571e58418f9a4357b68a0,68,0,0.0,0.0005242159203614866,0.0
0x000000000060c4ca14cfc4325359062ace33fe3d,1,0,0.0,1.6531908145179908e-05,0.0
0x00000000006c3852cbef3e08e8df289169ede581,1,0,0.0,1.6531908145179908e-05,0.0
0x00000000007767d79f9f4aa1ff0d71b8e2e4a231,9,0,0.0,6.599855548933285e-05,0.0
0x00000000008794027c69c26d2a048dbec09de67c,4,0,0.0,4.630277930212806e-05,0.0
0x00000000009726632680fb29d3f7a9734e3010e2,14,0,0.0,0.00011806871058844117,0.0
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,2,0,0.0,2.4342431410046164e-05,0.0
0x0000000000a39bb272e79075ade125fd351887ac,195,0,0.0,0.0014171089538924306,0.0
0x0000000000a84d1a9b0063a910315c7ffa9cd248,3,0,0.0,3.215295467491242e-05,0.0
0x0000000000adead599c11a0c9a7475b67852c1d0,1,0,0.0,1.6531908145179908e-05,0.0
0x0000000000aec84f5bfc2af15eafb943bf4e3522,1,0,0.0,1.6531908145179908e-05,0.0
0x0000000000c2d145a2526bd8c716263bfebe1a72,34,0,0.0,0.00025735637547855594,0.0
0x0000000000c2f3017e5af636ea91bd68ec3888ed,1,0,0.0,1.6531908145179908e-05,0.0
0x0000000000d3e910c999cfa4a016eaafe9fcb604,0,1,1.0,8.721384880313655e-06,0.0
0x0000000000e655fae4d56241588680f86e3b2377,2,0,0.0,2.0437169777613034e-05,0.0
0x0000000006a0403952389b70d8ee4e45479023db,2,0,0.0,2.4342431410046164e-05,0.0
0x0000000007cb415122b0049a88bf24841260050e,1,0,0.0,1.187768957930687e-05,0.0
0x000000000dfde7deaf24138722987c9a6991e2d4,18,0,0.0,0.0001480926808061986,0.0
0x00000000219ab540356cbb839cbe05303d7705fa,24,0,0.0,0.0001923662528045364,0.0
0x0000000022d4802541320db7f22693405db19422,0,1,1.0,8.721384880313655e-06,0.0
0x000000002858ffb63b7576be62065ff77e9bc9e1,1,0,0.0,1.6531908145179908e-05,0.0
0x000000004685666c7653cc148f566f0511901b37,1,0,0.0,1.2626646512746781e-05,0.0
0x000000008924d42d98026c656545c3c1fb3ad31c,6,0,0.0,5.5584524469511184e-05,0.0
0x00000000a991c429ee2ec6df19d40fe0c80088b8,1,0,0.0,1.6531908145179908e-05,0.0
0x00000000cdb4a7cdea2bc1b950273ca6b16d8fcf,0,1,1.0,8.721384880313655e-06,0.0
0x00000000d7c185343e6504e428b8f8b5ad6c91b8,0,4,1.0,8.721384880313655e-06,0.0
0x00000000de337b4fff5fcbe4df67a85d0bad5d16,1,0,0.0,1.6531908145179908e-05,0.0
0x00000000ede6d8d217c60f93191c060747324bca,3,0,0.0,2.3040677532568454e-05,0.0
0x00000000f51340906f767c6999fe512b1275955c,0,1,1.0,8.721384880313655e-06,0.0
0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,1,0,0.0,1.6531908145179908e-05,0.0
0x000000072ed5718cf91290bcaa1143bc97d1d7ff,0,1,1.0,8.721384880313655e-06,0.0
0x0000000895cb182e6f983eb4d8b4e0aa0b31ae4c,3,0,0.0,3.215295467491242e-05,0.0
0x000000093e55f433fb57a32aa5d5fe717b3f7ab1,0,1,1.0,8.721384880313655e-06,0.0
0x0000000d458f2b3cef4cd93bd5bab7f47f78fdea,0,1,1.0,8.721384880313655e-06,0.0
0x0000001089167600c25258da29d2e2c857ec1689,1,0,0.0,1.6531908145179908e-05,0.0
0x000000121fbd8a140e736a6a40c9b3cc3145e2f9,0,1,1.0,8.721384880313655e-06,0.0
0x0000001d0000f38cc10d0028474a9c180058b091,1,0,0.0,1.6531908145179908e-05,0.0
0x00000027f490acee7f11ab5fdd47209d6422c5a7,0,1,1.0,8.721384880313655e-06,0.0
0x000000422a649825bda802b2c212c46127bd96fd,0,1,1.0,8.721384880313655e-06,0.0
0x00000047bb99ea4d791bb749d970de71ee0b1a34,25,0,0.0,0.0002024101966058304,0.0
0x0000006094141cd5d88b13aa8845dc34e9b1c3a0,0,1,1.0,8.721384880313655e-06,0.0
0x0000006f43b26ba724ae3ddb0c55536d64e5f985,0,2,1.0,8.721384880313655e-06,0.0
0x00000078e63dd4005a33be00bbb07a6d4b007231,0,1,1.0,8.721384880313655e-06,0.0
0x0000008710942ee96cc81659c46fabfdb478887b,0,1,1.0,8.721384880313655e-06,0.0
0x000000b1cf3c8df89d748dcbea3c970e1bcf4039,0,1,1.0,8.721384880313655e-06,0.0
0x000000b69ea30b4300b83767e25e9bc5170f1573,0,1,1.0,8.721384880313655e-06,0.0
