wallet,in_degree,out_degree,flow_ratio,pagerank,betweenness
0x01074650d4d20a4c4a3c6251f705f86117f3d8c6,0,1,1.0,3.919167952620397e-05,0.0
0x01087f4e1dbc0c52690a9397677dd90983711c37,0,1,1.0,3.919167952620397e-05,0.0
0x010c5d0d20d509124fb263715a85a2f412d3bfed,1,0,0.0,7.286872136752731e-05,0.0
0x010d4634c3ff9f64303e03dd499b0b1bb10a1eeb,0,1,1.0,3.919167952620397e-05,0.0
0x0111044f41bbfa0161ba5b69cd08be8bb6167d32,1,0,0.0,7.286872136752731e-05,0.0
0x0113a6b755fbad36b4249fd63002e2035e401143,0,2,1.0,3.919167952620397e-05,0.0
0x0115aa595155c8ae47a35bb3b922d6b6d03cd3e0,0,1,1.0,3.919167952620397e-05,0.0
0x011e03b4d3fb6dbb7fd561fea1bce30ab44abbd3,1,0,0.0,7.286872136752731e-05,0.0
0x0121b7425bf0bd1b1e0f9022f876ac71796de925,0,1,1.0,3.919167952620397e-05,0.0
0x0126d6b25cbeece025b59a76cdcf9746a0b3c693,0,1,1.0,3.919167952620397e-05,0.0
0x012a59db86397c15a5bdda589e596c58c0fb8854,1,0,0.0,7.286872136752731e-05,0.0
0x0131a0612dbbfb7d7fb8476dea6cf8c1a1ce54be,0,1,1.0,3.919167952620397e-05,0.0
0x0147573b35900b608832e000c0df7f05aaad830b,0,1,1.0,3.919167952620397e-05,0.0
0x014b34c8d92af7caf584a63016791a2f5a0784e4,1,0,0.0,7.286872136752731e-05,0.0
0x014eddeab234be43e22f7aefb2f9c80317ebc21c,0,1,1.0,3.919167952620397e-05,0.0
0x0153922123310a28c550eca8ae62990c19bd4f93,1,1,0.5,0.00010093848358010338,1.763289167671176e-08
0x015aba1da2c8cf62f6ee137d639c4c6c2926205d,0,1,1.0,3.919167952620397e-05,0.0
0x015e2d441b89d5d86143f9cdb47648867ed99301,1,0,0.0,6.913053494836247e-05,0.0
0x015f57ce64604cafa7c24b20916455b4633c1b35,0,1,1.0,3.919167952620397e-05,0.0
0x016090d3c689ade634337b2d74c348c9b5cd414b,1,0,0.0,5.659426481662434e-05,0.0
0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0,1,1.0,3.919167952620397e-05,0.0
0x016765bbab4b3389482d4ad56533968242d58958,1,0,0.0,7.286872136752731e-05,0.0
0x01680750d81bb3ffee1bc31d42615ce94f6b3067,0,1,1.0,3.919167952620397e-05,0.0
0x017691c0bee01cd8434735eec4b3957162a91170,0,1,1.0,3.919167952620397e-05,0.0
0x01772b4aff70753d6fff6e72cd879129ce14f2c9,0,1,1.0,3.919167952620397e-05,0.0
0x017b540c102d133ffd14da884c0986a3cc43f59f,0,1,1.0,3.919167952620397e-05,0.0
0x017bd64704cfce1a624201f62f0b87f4ddae13a5,0,1,1.0,3.919167952620397e-05,0.0
0x017dcbd56f61e71db23f6df01e202b8432aebc65,0,1,1.0,3.919167952620397e-05,0.0
0x018d29c01ed70c2ef926441996aa0d1e8d04e464,1,0,0.0,7.286872136752731e-05,0.0
0x0195bf2a09a3934f67763c82dbb8d4c5d144083b,0,1,1.0,3.919167952620397e-05,0.0
